>mml
ACT     MSCBC1                    AD-244  TIME 240425 1120  OPGROUP
CLUSTER SESSION - NORMAL MODE
<MGSVP;
ORDERED
<

ACT     MSCBC1                    AD-244  TIME 240425 1121  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-33191245950030           8          7
4-491700600155             4          3
4-8613506310000            1          1
4-33191417880087          52         47
4-491700600140             6          4
4-639170000359            18          6
4-201059968205             3          2
4-19703769810            102         20
4-14054729238              3          3
4-13603399653             12          0
4-14054729231              5          4
4-37069950000             29         28
4-3319120120445            9          7
4-33191229950034          16         14
4-919896283971             2          1
4-79112009903              7          7
4-33191393490249           8          6
4-491700600304            10          4
4-201059968068            11          7
4-491700600157             8          8
4-32495000300              3          3
4-14054729340              6          5
4-33191229970017          29         21
4-33191231880011           3          2
4-436760182223             4          3
4-201059968082             5          5
4-919935060110            20         17
4-37125850000              9          8
4-324750007320406          7          7
4-420733087404            10         10
4-33191393490271          17         13
4-353830000250            26         21
4-8615737490000            3          3
4-14047259013              5          4
4-19703769829            106         60
4-48602003041             26         22
4-33191491720169          13         10
4-33191346560181          13         12
4-447953700233             6          6
4-447782000113             5          3
4-33191316540091          52         41
4-491700600310             2          2
4-3319120120441            7          7
4-4366401100              49         42
4-8617842050000            1          0
4-33609009911             48         37
4-447802002730            16         15
4-14054729190              8          7
4-8613334262000           14         13
4-33191491720099           8          6
4-33689002872             20         13
4-14054729317              8          8
4-19703769832             34         15
4-4528133316               2          2
4-21650000099              3          1
4-14054729319              9          9
4-33191393490251          10          9
4-79112009905              7          7
4-79167494136              1          1
4-491700600121             4          4
4-919820005392043          1          1
4-33191491720168          10         10
4-393533000028            10          9
4-79529480192              3          1
4-33191491720158          15         15
4-33191393490260           9          7
4-19703769842             69         35
4-966505000000           172        154
4-447802002261             1          1
4-33191316540258          21         19
4-491760003017             8          8
4-882470000001001         20         15
4-48881100010            157        133
4-8613601640000            6          6
4-14054729352              4          4
4-33191962770199          13         10
4-14054729243              6          6
4-46708000000             11          9
4-33191250780012          12         11
4-491700600114             4          3
4-447953700256             6          6
4-33191346560146          20         16
4-79014951192              9          6
4-33191393490265           6          4
4-33191485010414          24         23
4-14054729249              6          5
4-19703769823             25         14
4-14054729245              7          4
4-3725509961               1          0
4-33191393490277          11          9
4-3319120120437            5          4
4-352091000110            23         17
4-447953700211            22         20
4-3319120120434           10          9
4-33191491720142          11         10
4-46705003205              3          3
4-37129201245             39         32
4-14054729320              4          4
4-12085978676              4          4
4-201059968087             7          6
4-393533000029             9          7
4-447559499030            44         36
4-8614770870000            1          1
4-48601000061              4          2
4-84980200080              3          1
4-421949901073             2          2
4-447781002015             4          4
4-33689008126             34         31
4-33191407220043          20         19
4-19703769809            135         28
4-37068499230             19         18
4-491700600124             2          2
4-639180009010             5          2
4-33191590350057           3          2
4-436990071296             4          4
4-37069899881             13         13
4-37069899883             11         10
4-33191243840259           2          2
4-447802002732             6          6
4-201059968075             3          3
4-491700600116             5          5
4-447953700238             7          6
4-21350001272             21         13
4-40770000028             32         28
4-249912090342             1          1
4-639180009019             3          0
4-639180009018             4          0
4-12085978680              7          6
4-861395810000             5          3
4-919934129300             8          8
4-14054729234              4          3
4-2250101099707           12         11
4-447953700203            24         23
4-447953700205            18         16
4-14054729203              4          3
4-14054729325              6          6
4-916362784242             6          3
4-79942611192             24         20
4-491700600122             6          5
4-331912348030038        136        110
4-393358815112             9          8
4-33191243810046          13         11
