>mml
ACT     MSCBC1                    AD-244  TIME 240425 1120  OPGROUP
CLUSTER SESSION - NORMAL MODE
<MGSVP;
ORDERED
<

ACT     MSCBC1                    AD-244  TIME 240425 1121  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-33191245960009           5          2
4-4915790100006            1          1
4-8613605370000            1          0
4-33191905420186           2          1
4-421903002025             1          1
4-66942500005              1          1
4-16363848772              2          2
4-8615728340000            1          1
4-12085978681              2          2
4-8613405350000            1          1
4-35796967004              1          1
4-3319127820110            1          1
4-336110000312102          2          2
4-66830032010              1          1
4-491700600315             3          2
4-79529480180              1          0
4-33191905420282           1          1
4-33191905420283           1          1
4-447782000114             1          1
4-61415011030              1          0
4-447802000259             2          2
4-8615294870000            1          1
4-8613439520000            1          1
4-3319127820069            1          0
4-917011075029             1          1
4-19039326983              1          1
4-9477000196               1          1
4-3319127820123            1          1
4-66923014522              1          1
4-375259092009             1          0
4-550101102055             2          2
4-96394107400              1          0
4-8614700030000            1          1
4-8613912180000            1          1
4-46723900010              1          1
4-861854918000             1          1
4-8615102140000            1          1
4-79167494188              1          1
4-79167494106              1          1
4-79139860002              1          1
4-3319112420011            1          1
4-85290184006              1          1
4-4528133318               1          1
4-33191485010125           1          1
4-447782000233             1          1
4-447782000245             1          1
4-33191687770018           2          2
4-959790000057             3          2
4-8614778740000            1          1
4-61415011019              1          1
4-8190542114894            1          1
4-79167494221              1          1
4-97455589714              1          1
4-447782000222             1          1
4-33689002873              1          1
4-861837869643             1          1
4-79167494227              1          1
4-32475002547              1          1
4-19037029967              1          1
4-8614709420000            1          1
4-4367603034000            1          0
4-54079000030              1          1
4-491700600120             2          2
4-8190542115860            1          1
4-61415011015              2          1
4-3725509930               1          1
4-324750004160404          2          0
4-13123149272              2          2
4-33191316540123           2          2
4-8613400060000            1          1
4-19039326973              1          1
4-861325477829             1          1
4-33689008931              1          1
4-917016075020             1          1
4-33695000380              1          1
4-32475002531              1          1
4-861958454000             1          0
4-8190542116900            1          1
4-37379499110              1          1
4-8613611310000            1          1
4-316540791020             1          1
4-46705003208              1          1
4-5995219507               1          1
4-14054729240              1          1
4-324750004152919          1          1
4-8618516404520            1          1
4-919021019361             2          2
4-491700600313             1          1
4-447782000224             1          1
4-33191905420194           2          2
4-33689002881              1          1
4-33689008062              1          0
4-21650000054              1          1
4-8613663040000            1          1
4-8190542117862            1          1
4-447782000118             1          0
4-19039326994              1          1
4-550064802007             1          1
4-66923013502              1          1
4-436760182225             1          0
4-19039326963              1          1
4-491760003161             1          1
4-331918180931026          1          0
4-550101102054             1          1

TOTNSUB
1736920

TOTNSUBA
1633259

NSUBPR
0

NSUBXP
0

NSUBPXOU
1736920

NSUBSGS
1047515

NSUBGS
0

END     
